Node A Name,Node B Name,# Connections,# Connections Unique,Type
Node A Name,Node B Name,0,0,Node A Name
DSCore.List.Transpose@var[]..[],DSOffice.Data.ExportExcel@string_string_int_int_var[][]_bool,0,0,DSCore
DSOffice.Data.ImportExcel@var_string_bool_bool,DSCore.List.Transpose@var[]..[],0,0,DSOffice
DSCore.List.Transpose@var[]..[],DSCore.List.GetItemAtIndex@var[]..[]_int,1,1,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,Revit.Elements.Element.SetParameterByName@string_var,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,Revit.Elements.Element.SetParameterByName@string_var,0,0,DSCore
DSCore.Math.Sum@double[],/@var[]..[]_var[]..[],0,0,DSCore
GetValues@var[]..[],DSCore.Math.Sum@double[],0,0,GetValues@var[]
DSCore.Math.Sum@double[],/@var[]..[]_var[]..[],0,0,DSCore
GetValues@var[]..[],DSCore.Math.Sum@double[],0,0,GetValues@var[]
1db71931-aac7-4e82-b5b8-5c7bcf16332f,DSCore.List.FilterByBoolMask@var[]..[]_var[]..[],0,0,1db71931-aac7-4e82-b5b8-5c7bcf16332f
1db71931-aac7-4e82-b5b8-5c7bcf16332f,==@var[]..[]_var[]..[],0,0,1db71931-aac7-4e82-b5b8-5c7bcf16332f
==@var[]..[]_var[]..[],DSCore.List.FilterByBoolMask@var[]..[]_var[]..[],0,0,==@var[]
DSCore.List.FilterByBoolMask@var[]..[]_var[]..[],archilab.Revit.Selection.Select.ByElementId@var,0,0,DSCore
a8b0f382-e8bc-4198-93af-a93c1afcf265,DSCore.List.FilterByBoolMask@var[]..[]_var[]..[],1,1,a8b0f382-e8bc-4198-93af-a93c1afcf265
b223cace-86e4-435e-8e6c-94a60e29ecb6,1db71931-aac7-4e82-b5b8-5c7bcf16332f,1,1,b223cace-86e4-435e-8e6c-94a60e29ecb6
_UI.MultipleInputForm_++,5c6eba64-17ff-4764-9134-0afcdb6716a4,1,1,_UI
5c6eba64-17ff-4764-9134-0afcdb6716a4,b223cace-86e4-435e-8e6c-94a60e29ecb6,0,0,5c6eba64-17ff-4764-9134-0afcdb6716a4
_UI.FilePath_Data,_UI.MultipleInputForm_++,0,0,_UI
1db71931-aac7-4e82-b5b8-5c7bcf16332f,==@var[]..[]_var[]..[],0,0,1db71931-aac7-4e82-b5b8-5c7bcf16332f
DSCore.List.FilterByBoolMask@var[]..[]_var[]..[],_UI.Listview_Data,1,0,DSCore
==@var[]..[]_var[]..[],DSCore.List.FilterByBoolMask@var[]..[]_var[]..[],0,0,==@var[]
_UI.MultipleInputForm_++,DSCore.List.GetItemAtIndex@var[]..[]_int,1,1,_UI
DSCore.List.FilterByBoolMask@var[]..[]_var[]..[],_UI.Listview_Data,1,0,DSCore
==@var[]..[]_var[]..[],DSCore.List.FilterByBoolMask@var[]..[]_var[]..[],0,0,==@var[]
1db71931-aac7-4e82-b5b8-5c7bcf16332f,==@var[]..[]_var[]..[],0,0,1db71931-aac7-4e82-b5b8-5c7bcf16332f
DSCore.List.GetItemAtIndex@var[]..[]_int,Revit.Elements.Element.SetParameterByName@string_var,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,Revit.Elements.Element.SetParameterByName@string_var,0,0,DSCore
DSCore.List.FilterByBoolMask@var[]..[]_var[]..[],_UI.Listview_Data,1,0,DSCore
==@var[]..[]_var[]..[],DSCore.List.FilterByBoolMask@var[]..[]_var[]..[],0,0,==@var[]
1db71931-aac7-4e82-b5b8-5c7bcf16332f,==@var[]..[]_var[]..[],0,0,1db71931-aac7-4e82-b5b8-5c7bcf16332f
DSCore.List.FilterByBoolMask@var[]..[]_var[]..[],_UI.Listview_Data,1,0,DSCore
==@var[]..[]_var[]..[],DSCore.List.FilterByBoolMask@var[]..[]_var[]..[],0,0,==@var[]
1db71931-aac7-4e82-b5b8-5c7bcf16332f,==@var[]..[]_var[]..[],0,0,1db71931-aac7-4e82-b5b8-5c7bcf16332f
DSCore.List.FilterByBoolMask@var[]..[]_var[]..[],_UI.Listview_Data,1,0,DSCore
==@var[]..[]_var[]..[],DSCore.List.FilterByBoolMask@var[]..[]_var[]..[],0,0,==@var[]
1db71931-aac7-4e82-b5b8-5c7bcf16332f,==@var[]..[]_var[]..[],0,0,1db71931-aac7-4e82-b5b8-5c7bcf16332f
DSCore.List.GetItemAtIndex@var[]..[]_int,Revit.Elements.Element.SetParameterByName@string_var,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,Revit.Elements.Element.SetParameterByName@string_var,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,Revit.Elements.Element.SetParameterByName@string_var,0,0,DSCore
DSCore.IO.Image.ReadFromFile@var,_UI.MultipleInputForm_++,1,0,DSCore
DSCore.IO.Image.ReadFromFile@var,_UI.MultipleInputForm_++,0,0,DSCore
1db71931-aac7-4e82-b5b8-5c7bcf16332f,==@var[]..[]_var[]..[],1,1,1db71931-aac7-4e82-b5b8-5c7bcf16332f
==@var[]..[]_var[]..[],DSCore.List.FilterByBoolMask@var[]..[]_var[]..[],0,0,==@var[]
DSCore.List.FilterByBoolMask@var[]..[]_var[]..[],DSCore.List.Flatten@var[]..[]_int,0,0,DSCore
DSCore.List.Flatten@var[]..[]_int,+@var[]..[]_var[]..[],0,0,DSCore
archilab.Revit.Selection.Select.ByElementId@var,a8b0f382-e8bc-4198-93af-a93c1afcf265,0,0,archilab
Revit.Elements.CurveElement.Curve,Autodesk.DesignScript.Geometry.Curve.PointsAtEqualSegmentLength@int,1,0,Revit
Autodesk.DesignScript.Geometry.Curve.PointsAtEqualSegmentLength@int,DSCore.List.Flatten@var[]..[]_int,1,1,Autodesk
DSCore.List.Flatten@var[]..[]_int,DSCore.List.UniqueItems@var[]..[],1,0,DSCore
92960965-5bfc-41ab-9ceb-d61917dfe6c5,a2d5ef3c-b3a2-403f-8b95-fd94457ce395,0,0,92960965-5bfc-41ab-9ceb-d61917dfe6c5
Autodesk.DesignScript.Geometry.Plane.ByOriginNormal@Autodesk.DesignScript.Geometry.Point_Autodesk.DesignScript.Geometry.Vector,_BoundingBox.PerimeterCurvesOnPlane,0,0,Autodesk
Autodesk.DesignScript.Geometry.BoundingBox.ByGeometry@Autodesk.DesignScript.Geometry.Geometry[],DSCore.List.Flatten@var[]..[]_int,0,0,Autodesk
DSCore.List.Flatten@var[]..[]_int,Autodesk.DesignScript.Geometry.BoundingBox.Contains@Autodesk.DesignScript.Geometry.Point,0,0,DSCore
1db71931-aac7-4e82-b5b8-5c7bcf16332f,2c408f1b-9655-4d54-8984-c9062c87b41d,0,0,1db71931-aac7-4e82-b5b8-5c7bcf16332f
