Node A Name,Node B Name,Node A ID,Node B ID
58849545-7510-4baf-99da-98c0b1e184fd,PythonNodeModels.PythonNode,38dee859a9bb468297440c699b72599d,217570ce13fb4a6380b71c8bd613a9f4
CoreNodeModels.Input.BoolSelector,58849545-7510-4baf-99da-98c0b1e184fd,89e0eadfe3b544b8b119786524abc894,38dee859a9bb468297440c699b72599d
CoreNodeModels.CreateList,PythonNodeModels.PythonNode,7365e8b7a20c4de5a793ffe30f824480,217570ce13fb4a6380b71c8bd613a9f4
DSRevitNodesUI.Views,CoreNodeModels.CreateList,0cef80d9e99449a0a4f1f80972840ce6,7365e8b7a20c4de5a793ffe30f824480
DSRevitNodesUI.Views,CoreNodeModels.CreateList,7e05e75700304f8896a1c351f8b4ba05,7365e8b7a20c4de5a793ffe30f824480
DSRevitNodesUI.Views,CoreNodeModels.CreateList,3ac0f2e651a04e7f9b471acb316b3867,7365e8b7a20c4de5a793ffe30f824480
Revit.Elements.Element.GetParameterValueByName@string,CoreNodeModels.Watch,d8753f5f64ed472ea4628b1ef5706d30,a835f7d075fa407ba116aeb96ba3f3a3
CoreNodeModels.Input.StringInput,Revit.Elements.Element.GetParameterValueByName@string,e3ffb5f334f249d583119917eabe1c4f,d8753f5f64ed472ea4628b1ef5706d30
CoreNodeModels.Watch,CoreNodeModels.CreateList,a835f7d075fa407ba116aeb96ba3f3a3,9ade3490bf754918a829b5b547302cb2
Dynamo.Nodes.DSModelElementsSelection,Revit.Elements.Element.GetParameterValueByName@string,e11752332cba4a718bda32879b54f9e6,d8753f5f64ed472ea4628b1ef5706d30
Dynamo.Nodes.DSModelElementsSelection,Revit.Elements.Element.GetParameterValueByName@string,e11752332cba4a718bda32879b54f9e6,2fb3e19c3689476a9da5e6395ba3e5e1
Dynamo.Nodes.DSModelElementsSelection,Revit.Elements.Element.GetParameterValueByName@string,e11752332cba4a718bda32879b54f9e6,71b9f0bc9f654a728ddc902ff6a97f46
Dynamo.Nodes.DSModelElementsSelection,Revit.Elements.Element.GetParameterValueByName@string,e11752332cba4a718bda32879b54f9e6,4a9c6da9ef384b9b9fa97c09c349807b
