Node A Name,Node B Name,# Connections,# Connections Unique,Type,Node A ID,Node B ID
Node A Name,Node B Name,0,0,Node A Name,Node A ID,Node B ID
DSCore.List.Transpose@var[]..[],DSOffice.Data.ExportExcel@string_string_int_int_var[][]_bool,6,5,DSCore,db067dc59e0147bda0cf858b0da3fc97,74aaea7e6e4546088068f93bcfc61ff2
DSOffice.Data.ImportExcel@var_string_bool_bool,DSCore.List.Transpose@var[]..[],0,0,DSOffice,c692d78907aa4d9ebaa4244cb92c20e4,b76189ba8c4a49dd875ddc88e806d5df
DSCore.List.GetItemAtIndex@var[]..[]_int,Revit.Elements.Element.SetParameterByName@string_var,78,58,DSCore,a2d2a3d30ff14eaaa120993bca904c53,d625ac5a20cd40ab88760f2266110977
DSCore.Math.Sum@double[],/@var[]..[]_var[]..[],3,2,DSCore,b5b8be87676947c48a5cc2d7c0af965e,ab84b72bd6754671b106d73f0f4fe7f8
GetValues@var[]..[],DSCore.Math.Sum@double[],1,0,Code Block??,002ea4d8c7664a6dbb9e8ac970bcf50d,b5b8be87676947c48a5cc2d7c0af965e
1db71931-aac7-4e82-b5b8-5c7bcf16332f,DSCore.List.FilterByBoolMask@var[]..[]_var[]..[],9,8,Zero Touch,b0adfdfb226249ffa7cc5b6daed4aaaf,88de44b1ad8b425dacde34da56e88c83
==@var[]..[]_var[]..[],DSCore.List.FilterByBoolMask@var[]..[]_var[]..[],6,0,Code Block??,f58796d8bfd34de3a934f248ebf22e15,88de44b1ad8b425dacde34da56e88c83
DSCore.List.FilterByBoolMask@var[]..[]_var[]..[],archilab.Revit.Selection.Select.ByElementId@var,81,81,DSCore,88de44b1ad8b425dacde34da56e88c83,c23fd434e93643b99b0f09db150506af
a8b0f382-e8bc-4198-93af-a93c1afcf265,DSCore.List.FilterByBoolMask@var[]..[]_var[]..[],6,2,Zero Touch,b63ea965728a4f6595f5b0ada9630bab,1cb4b763c4cd47fb99d677a3bb8c89b5
b223cace-86e4-435e-8e6c-94a60e29ecb6,1db71931-aac7-4e82-b5b8-5c7bcf16332f,8,0,Zero Touch,53e88a8dd4814f68b606214fd3f0a71b,b0adfdfb226249ffa7cc5b6daed4aaaf
_UI.MultipleInputForm_++,5c6eba64-17ff-4764-9134-0afcdb6716a4,10,10,_UI,662f14de44904c419280b81ff3b7bdcd,5d8306bf06c24aafa37cf35294ea646c
5c6eba64-17ff-4764-9134-0afcdb6716a4,b223cace-86e4-435e-8e6c-94a60e29ecb6,0,0,Zero Touch,5d8306bf06c24aafa37cf35294ea646c,53e88a8dd4814f68b606214fd3f0a71b
_UI.FilePath_Data,_UI.MultipleInputForm_++,0,0,_UI,a362ee84145449b293b4a77c9ad78297,662f14de44904c419280b81ff3b7bdcd
DSCore.IO.Image.ReadFromFile@var,_UI.MultipleInputForm_++,3,0,DSCore,46e0350ca3ce43568735758fe8221272,662f14de44904c419280b81ff3b7bdcd
DSCore.List.Flatten@var[]..[]_int,+@var[]..[]_var[]..[],47,47,DSCore,e63184e30588456d82837b61d808f2b4,c932eccaceab49d88213e72c666f6911
archilab.Revit.Selection.Select.ByElementId@var,a8b0f382-e8bc-4198-93af-a93c1afcf265,0,0,archilab,c23fd434e93643b99b0f09db150506af,b63ea965728a4f6595f5b0ada9630bab
Revit.Elements.CurveElement.Curve,Autodesk.DesignScript.Geometry.Curve.PointsAtEqualSegmentLength@int,2,1,Revit,f92c5894967e42aeb6d8b2bd0f92291b,e85495584e96474980de27a49a4526f3
Autodesk.DesignScript.Geometry.Curve.PointsAtEqualSegmentLength@int,DSCore.List.Flatten@var[]..[]_int,1,1,Autodesk,e85495584e96474980de27a49a4526f3,e9745700625849f9b659bfe6323e2872
92960965-5bfc-41ab-9ceb-d61917dfe6c5,a2d5ef3c-b3a2-403f-8b95-fd94457ce395,1,1,Zero Touch,a5ff29fc5fa844b385ea6bb331462b28,a8a2c54c4b6949688681ba42ed240df7
Autodesk.DesignScript.Geometry.Plane.ByOriginNormal@Autodesk.DesignScript.Geometry.Point_Autodesk.DesignScript.Geometry.Vector,_BoundingBox.PerimeterCurvesOnPlane,0,0,Autodesk,8b0a6b791f4b458a9cab80267ea309e0,b91cf371c410410fa28dfe2a876f96d8
Autodesk.DesignScript.Geometry.BoundingBox.ByGeometry@Autodesk.DesignScript.Geometry.Geometry[],DSCore.List.Flatten@var[]..[]_int,0,0,Autodesk,18ff4673dd9c4b03be12b7cad9300a29,f7d72f9d73ef4682ab1abf498c683311
2c408f1b-9655-4d54-8984-c9062c87b41d,DSCore.String.ToNumber@string,0,0,Zero Touch,ae7fbfaccda740cfbc4468cc1ecd6ffd,1d472d68b25b4487b70607f739e76344
Geometry.Points.NumbersToPoint@double[],DSCore.List.Flatten@var[]..[]_int,0,0,Geometry,736f3805dd2b46f980d6ccce9b03d346,3b0e0e07690041d8ab0adc4977b8bb95
Autodesk.DesignScript.Geometry.Geometry.Translate@double_double_double,Autodesk.DesignScript.Geometry.Geometry.Rotate@Autodesk.DesignScript.Geometry.Point_Autodesk.DesignScript.Geometry.Vector_double,0,0,Autodesk,0ef94e93b6ba46ce956303ce2e8a8c90,a6a91183a6a349c98062d836b24c1c23
